product_id,name,ASIN,inventory,min_inventory,description,image,modified_by,modified_on,postage_charges,packing_charges,other_charges,web_rrp,web_pp_charge,ebay_rrp,ebay_fees,amz_rrp,amz_fees,amz_fba_fees,ean,sku,inactive_from
11,Wooden Peacock With Chick,,3,1,,http://artisansworld.co.uk/img/p/6/0/60.jpg,1,2019-01-10 16:01:01,2.82,0.25,0,26.98,3,26.98,0,26.98,0,0,8.44E+12,KH-119,2018-12-31 16:01:01
12,Hand Carved Wooden Elephant,,13,1,,http://artisansworld.co.uk/img/p/8/3/7/837.jpg,1,2019-01-11 16:01:01,2.82,0.25,0,24.46,3,24.46,0,24.46,0,0,8.44E+12,KH-019,2018-12-31 16:01:01
13,Wooden Elephant - Lattice Style carved,,0,1,,http://artisansworld.co.uk/img/p/2/4/6/246.jpg,1,2019-01-12 16:01:01,2.82,0.25,0,25.58,3,25.58,0,25.58,0,0,8.44E+12,KH-069,2018-12-31 16:01:01
14,Wooden Parrot Love Birds,,3,1,,http://artisansworld.co.uk/img/p/3/9/1/391.jpg,1,2019-01-13 16:01:01,2.82,0.25,0,12.58,3,12.58,0,12.58,0,0,8.44E+12,KH-107,2018-12-31 16:01:01
15,Wooden Peacock Love Birds,,3,1,,http://artisansworld.co.uk/img/p/3/7/3/373.jpg,1,2019-01-14 16:01:01,2.82,0.25,0,12.58,3,12.58,0,12.58,0,0,8.44E+12,KH-108,2018-12-31 16:01:01
16,Wooden Carved camel,,1,1,,http://artisansworld.co.uk/img/p/2/1/2/212.jpg,1,2019-01-15 16:01:01,2.82,0.25,0,19.98,3,19.98,0,19.98,0,0,8.44E+12,KH-084,2018-12-31 16:01:01
17,Carved Wooden Pen Holder,,6,1,,http://artisansworld.co.uk/img/p/3/7/6/376.jpg,1,2019-01-16 16:01:01,2.82,0.25,0,9.8,3,9.8,0,9.8,0,0,8.44E+12,KH-454,2018-12-31 16:01:01
18,Letter Opener - Wooden Elephant Carving,,27,1,,http://artisansworld.co.uk/img/p/7/9/6/796.jpg,1,2019-01-17 16:01:01,0.79,0.25,0,2.4,3,2.4,0,2.4,0,0,8.44E+12,KH-1007A,2018-12-31 16:01:01
19,Letter Opener - Wooden Bird Carving,,4,1,,http://artisansworld.co.uk/img/p/3/9/4/394.jpg,1,2019-01-18 16:01:01,0.79,0.25,0,3.98,3,3.98,0,3.98,0,0,8.44E+12,KH-1010,2018-12-31 16:01:01
20,Wooden Carved Letter Opener,,10,1,,http://artisansworld.co.uk/img/p/3/2/9/329.jpg,1,2019-01-19 16:01:01,0.79,0.25,0,1.68,3,1.68,0,1.68,0,0,8.44E+12,KH-1009,2018-12-31 16:01:01
21,Wooden carved Key Chain,,27,1,,http://artisansworld.co.uk/img/p/3/0/8/308.jpg,1,2019-01-20 16:01:01,0.79,0.25,0,1.98,3,1.98,0,1.98,0,0,7.43E+12,KH-1000,2018-12-31 16:01:01
22,Marble Pen Holder,,5,1,,http://artisansworld.co.uk/img/p/1/5/7/157.jpg,1,2019-01-21 16:01:01,2.82,0.25,0,12.66,3,12.66,0,12.66,0,0,8.44E+12,KH-823,2018-12-31 16:01:01
23,Marble Napkin Holder,,3,1,,http://artisansworld.co.uk/img/p/7/1/2/712.jpg,1,2019-01-22 16:01:01,2.82,0.25,0,10.54,3,10.54,0,10.54,0,0,8.44E+12,KH-821,2018-12-31 16:01:01
24,Marble Tabletop Watch,,3,1,,http://artisansworld.co.uk/img/p/3/4/8/348.jpg,1,2019-01-23 16:01:01,2.82,0.25,0,10.64,3,10.64,0,10.64,0,0,8.44E+12,KH-819,2018-12-31 16:01:01
25,Wooden Marquetry Box With Opulent Red Lining,,2,1,,http://artisansworld.co.uk/img/p/6/4/6/646.jpg,1,2019-01-24 16:01:01,2.82,0.25,0,8.98,3,8.98,0,8.98,0,0,8.44E+12,CK-003,2018-12-31 16:01:01
26,"Wooden Yarn Bowl - Multi Wood - 6"" x 3""",,0,1,,http://artisansworld.co.uk/img/p/8/2/5/825.jpg,1,2019-01-25 16:01:01,2.82,0.25,0,21.5,3,21.5,0,21.5,0,0,8.44E+12,NC-004,2018-12-31 16:01:01
27,Wooden Money Box with Key Lock / Piggy Bank,,3,1,,http://artisansworld.co.uk/img/p/4/2/1/421.jpg,1,2019-01-26 16:01:01,2.82,0.25,0,16.49,3,16.49,0,16.49,0,0,8.44E+12,NC-022,2018-12-31 16:01:01
28,Exotic Wooden Coaster set,,11,1,,http://artisansworld.co.uk/img/p/4/5/4/454.jpg,1,2019-01-27 16:01:01,2.82,0.25,0,9,3,9,0,9,0,0,8.44E+12,WH-10137,2018-12-31 16:01:01
29,Chinese Checkers board set with Glass Marbles,,0,1,,http://artisansworld.co.uk/img/p/9/0/1/901.jpg,1,2019-01-28 16:01:01,2.82,0.25,0,32.48,3,32.48,0,32.48,0,0,8.44E+12,NC-005,2018-12-31 16:01:01
